City|Date|Card_Type|Exp_Type|Gender|Amount|EMI_Paid
Delhi|29-Oct-14|Gold|Bills|F|82475|0
Mumbai|22-Aug-14|Platinum|Bills|F|32555|0
Bengaluru|27-Aug-14|Silver|Bills|F|101738|0
Mumbai|12-Apr-14|Signature|Bills|F|123424|0
Bengaluru|05-May-15|Gold|Bills|F|171574|0
Delhi|08-Sep-14|Silver|Bills|F|100036|0
Delhi|24-Feb-15|Gold|Bills|F|143250|0
Mumbai|26-Jun-14|Platinum|Bills|F|150980|0
Delhi|28-Mar-14|Silver|Bills|F|192247|0
Delhi|01-Sep-14|Platinum|Bills|F|67932|0
Delhi|22-Jun-14|Platinum|Bills|F|280061|0
Mumbai|07-Dec-13|Signature|Bills|F|278036|0
Mumbai|07-Aug-14|Gold|Bills|F|19226|0
Delhi|27-Apr-14|Signature|Bills|F|254359|0
Mumbai|15-Aug-14|Signature|Bills|F|302834|0
Mumbai|28-Nov-14|Platinum|Bills|F|647116|0
Mumbai|14-Jun-14|Signature|Bills|F|421878|0
Mumbai|30-Mar-15|Gold|Bills|F|986379|0
Mumbai|15-Mar-14|Platinum|Bills|F|213047|0
Mumbai|09-Nov-13|Platinum|Bills|F|735566|1
Delhi|04-Apr-14|Signature|Bills|F|366102|0
Delhi|01-Jul-14|Signature|Bills|F|809623|1
Mumbai|27-Mar-15|Silver|Bills|F|467014|1
Ahmedabad|11-Oct-13|Gold|Bills|F|668568|1
Ahmedabad|26-Mar-14|Gold|Bills|F|339112|1
Delhi|27-Sep-14|Silver|Bills|F|622170|1
Bengaluru|23-Mar-14|Platinum|Bills|F|434427|1
Mumbai|17-May-14|Signature|Bills|F|655846|1
Bengaluru|18-Jan-15|Platinum|Bills|F|987935|1
Delhi|18-Apr-15|Gold|Bills|F|702774|1
Bengaluru|31-Jul-14|Signature|Bills|F|225392|1
Mumbai|11-Feb-15|Gold|Bills|F|296573|1
Ahmedabad|24-Nov-13|Platinum|Bills|F|227702|0
Ahmedabad|08-Nov-14|Gold|Bills|F|864090|0
Ahmedabad|06-Sep-14|Signature|Bills|F|440605|0
Ahmedabad|24-Mar-15|Platinum|Bills|F|954660|0
Ahmedabad|01-Jan-14|Signature|Bills|F|255577|0
Ahmedabad|12-Jul-14|Silver|Bills|F|337352|0
Ahmedabad|04-Feb-14|Platinum|Bills|F|660244|0
Delhi|03-Feb-15|Silver|Bills|F|401351|0
